Id,GeoFips,Metro name,2014 lower income share,2014 middle income share,2014 upper income share,2000 to 2014 lower income change,2000 to 2014 middle income change,2000 to 2014 upper income change
207,45060,"Syracuse, NY",25.94,54.89,19.17,-1.13,-2.15,3.28
208,45300,"Tampa-St. Petersburg-Clearwater, FL",31.84,52.49,15.68,3.90,-4.55,0.66
209,45780,"Toledo, OH",28.72,53.13,18.15,4.54,-5.18,0.64
210,45940,"Trenton, NJ",23.77,48.14,28.09,2.19,-5.84,3.65
211,46060,"Tucson, AZ",33.39,49.38,17.23,2.34,-4.75,2.42
212,46340,"Tyler, TX",34.37,49.28,16.36,4.35,-5.04,0.70
213,46520,"Urban Honolulu, HI",21.64,63.04,15.32,-6.40,3.97,2.43
214,46540,"Utica-Rome, NY",28.54,56.55,14.91,0.52,-3.82,3.31
215,46700,"Vallejo-Fairfield, CA",26.55,57.41,16.03,0.81,-3.32,2.50
216,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",23.77,56.10,20.14,-1.25,-3.55,4.81
217,47300,"Visalia-Porterville, CA",46.12,44.55,9.33,3.20,-2.18,-1.02
218,47380,"Waco, TX",32.69,54.02,13.29,-0.33,0.38,-0.05
219,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",18.91,49.45,31.64,-0.10,-6.10,6.20
220,48140,"Wausau, WI",18.23,67.21,14.57,0.30,0.97,-1.26
221,48660,"Wichita Falls, TX",30.08,56.19,13.73,-1.82,-1.01,2.83
222,48620,"Wichita, KS",26.08,56.21,17.71,4.78,-4.25,-0.53
223,49180,"Winston-Salem, NC",30.85,53.18,15.97,7.85,-6.41,-1.44
224,49340,"Worcester, MA-CT",23.72,52.77,23.50,-0.36,-6.99,7.34
225,49420,"Yakima, WA",35.32,52.34,12.34,-0.83,-0.42,1.25
226,49620,"York-Hanover, PA",22.84,57.42,19.74,3.31,-7.71,4.40
227,49660,"Youngstown-Warren-Boardman, OH-PA",26.84,60.24,12.92,0.81,1.76,-2.57
228,49700,"Yuba City, CA",37.34,50.67,11.99,-0.74,-0.10,0.84
229,49740,"Yuma, AZ",43.70,46.78,9.51,1.91,-1.14,-0.78
